timestamp|name|cpu|memUsage|memPct
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-backend-1|0.06%|48.77MiB / 6.698GiB|0.71%
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-egress-1|0.09%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-livekit-1|3.26%|71.33MiB / 6.698GiB|1.04%
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-redis-1|0.60%|4.781MiB / 6.698GiB|0.07%
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:22:45.8233242+00:00|livekit-1to1-cloudflared-1|0.00%|20.24MiB / 6.698GiB|0.30%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-backend-1|0.06%|48.77MiB / 6.698GiB|0.71%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-egress-1|0.07%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-livekit-1|3.51%|71.5MiB / 6.698GiB|1.04%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-redis-1|0.35%|5.031MiB / 6.698GiB|0.07%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:22:50.4731908+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-backend-1|0.06%|48.77MiB / 6.698GiB|0.71%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-egress-1|0.06%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-livekit-1|3.51%|71.3MiB / 6.698GiB|1.04%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-redis-1|0.36%|4.781MiB / 6.698GiB|0.07%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:22:54.5239506+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-backend-1|0.07%|48.77MiB / 6.698GiB|0.71%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-egress-1|0.09%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-livekit-1|0.69%|71.1MiB / 6.698GiB|1.04%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-redis-1|0.39%|5.031MiB / 6.698GiB|0.07%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:22:59.1426001+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:23:03.1924362+00:00|livekit-1to1-backend-1|0.06%|48.96MiB / 6.698GiB|0.71%
2026-08-05T18:23:03.1924362+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
