atUtc|ok|bytesIn|bytesOut|packetsIn|packetsOut|dropped|rooms|participants|tracksVideo|lossAvgPct|oooAvgPct|mbpsIn|mbpsOut|mbpsTotal|error
2026-08-06T00:11:40.7548689+00:00|True|127923728|128078258|121481|119062|0|0|0|0|0|0||||
2026-08-06T00:11:47.1207811+00:00|True|127923728|128078258|121481|119062|0|1|4|2|0|0||||
2026-08-06T00:11:51.0806320+00:00|True|130921520|129864241|124302|120726|0|1|4|2|0|0|6.056|3.608|9.664|
2026-08-06T00:12:01.9245262+00:00|True|134618507|133450469|127774|124046|0|1|0|0|0|0|3.618|2.903|6.521|
