"level","pairIndex","callerId","calleeId","ok","callId","loginMs","createMs","acceptMs","tokenMs","endMs","totalMs","createStatus","acceptStatus","tokenStatus","endStatus","error"
"1","0","L01","L02","True","121ce0c4-0540-40a5-bcde-1efc1f921e93","247","9","3","3","2","6289","201","200","200","200",
"2","0","L01","L02","True","775fdc20-cf2c-4367-af05-c66ee4870b39","252","4","2","2","2","6268","201","200","200","200",
"2","1","L03","L04","True","544e06b5-2d40-4873-badd-a20b39fb6cae","207","5","2","3","2","6231","201","200","200","200",
"3","0","L01","L02","True","3e8bb91e-6d4a-4e8b-8ff4-8c895dded612","171","3","1","1","2","6196","201","200","200","200",
"3","1","L03","L04","True","a90a87ab-b978-47b6-b8bb-6d2f166f9142","192","45","6","1","2","6257","201","200","200","200",
"3","2","L05","L06","True","2fdd7fdf-01c8-412d-b81b-59479acd6951","143","3","2","1","3","6161","201","200","200","200",
"5","0","L01","L02","True","035b9ec0-91a9-4d9d-9557-3b96d69b74f0","198","4","1","1","2","6218","201","200","200","200",
"5","1","L03","L04","True","dfd491dd-6ce4-4857-8497-5711140afb50","167","4","1","1","2","6186","201","200","200","200",
"5","2","L05","L06","True","b7d0335c-eb6f-43e4-80ed-a00da47df082","206","46","1","1","2","6260","201","200","200","200",
"5","3","L07","L08","True","3146e01d-23f0-480f-97a8-944792eeae00","174","46","1","1","2","6241","201","200","200","200",
"5","4","L09","L10","True","b84f9e55-8b72-4c6b-8b60-886087c7896c","155","4","2","1","2","6174","201","200","200","200",
"8","0","L01","L02","True","7153faac-3533-4a0e-b2a5-97fb7191e8f1","248","48","2","1","2","6315","201","200","200","200",
"8","1","L03","L04","True","3efbcfba-0242-4431-9cab-64d908db1c04","266","44","1","1","2","6329","201","200","200","200",
"8","2","L05","L06","True","a8aa65b9-bf24-40f7-9e39-b8870d87b9d1","205","4","1","1","2","6230","201","200","200","200",
"8","3","L07","L08","True","d8553c9f-b503-406a-9050-78eac602e71b","255","45","2","1","2","6319","201","200","200","200",
"8","4","L09","L10","True","4660495f-1ee0-44c9-98ce-eeebf229db0b","198","46","1","1","2","6253","201","200","200","200",
"8","5","L11","L12","True","f14d6f0c-1205-4a23-99a2-ab1e2aea119e","199","46","1","1","1","6262","201","200","200","200",
"8","6","L13","L14","True","6925aa0e-cd0f-41fa-8852-0bfde4a3b425","217","4","1","1","2","6227","201","200","200","200",
"8","7","L15","L16","True","e3497057-a1cd-4d60-8dbc-fd130bb14648","223","47","1","1","2","6286","201","200","200","200",
