atUtc|ok|bytesIn|bytesOut|packetsIn|packetsOut|dropped|rooms|participants|tracksVideo|lossAvgPct|oooAvgPct|mbpsIn|mbpsOut|mbpsTotal|error
2026-08-06T00:12:11.2191240+00:00|True|134618507|133450469|127774|124046|0|1|0|0|0|0||||
2026-08-06T00:12:17.1361516+00:00|True|134618507|133450469|127774|124046|0|1|4|2|0|0||||
2026-08-06T00:12:21.1223191+00:00|True|137612507|135260641|130591|125728|0|1|4|2|0|0|6.009|3.633|9.642|
2026-08-06T00:12:31.9382164+00:00|True|141195997|138750751|133957|128957|0|1|0|0|0|0|3.555|2.865|6.42|
